seed_id,track,pack_id,pack_title,batch,template_id,seed_prompt_anchor,canonical_question_id,variant_group_id,transfer_item_id,primary_attr,secondary_attr,recommendation_pack
EXP-001,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,BTN vs BB on A72r; top pair weak kicker IP versus sticky caller,CQ-EXP-001,VG-EXP-001,TR-EXP-001,value_bluff_inversion,failed_to_extract_value,exploit_vs_station_value
EXP-002,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,SRP turn brick after flop call; second pair plus draw blocker versus station,CQ-EXP-002,VG-EXP-002,TR-EXP-002,value_bluff_inversion,failed_to_extract_value,exploit_vs_station_value
EXP-003,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,River pairs low card after passive line; top pair decent kicker versus station,CQ-EXP-003,VG-EXP-003,TR-EXP-003,value_bluff_inversion,failed_to_extract_value,exploit_vs_station_value
EXP-004,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,3bet pot A-high dry board with overpair versus call-happy rec,CQ-EXP-004,VG-EXP-004,TR-EXP-004,missed_exploit,failed_to_extract_value,exploit_vs_station_value
EXP-005,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,Turn completes some draws but weaker pair-draws still call versus station,CQ-EXP-005,VG-EXP-005,TR-EXP-005,missed_exploit,failed_to_extract_value,exploit_vs_station_value
EXP-006,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,River blank after double barrel with strong top pair versus station,CQ-EXP-006,VG-EXP-006,TR-EXP-006,missed_exploit,failed_to_extract_value,exploit_vs_station_value
EXP-007,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,Multiway top pair plus redraw on wet board versus two loose callers,CQ-EXP-007,VG-EXP-007,TR-EXP-007,missed_exploit,failed_to_extract_value,exploit_vs_station_value
EXP-008,exploit,exploit_vs_station_value_ip,对爱跟玩家先收费,batch_1_foundation,EXP-T1,Front door flush completes but rec keeps too many worse bluffcatchers,CQ-EXP-008,VG-EXP-008,TR-EXP-008,missed_exploit,failed_to_extract_value,exploit_vs_station_value
EXP-009,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Air on K83r after opening CO and getting called by sticky BB,CQ-EXP-009,VG-EXP-009,TR-EXP-009,false_exploit,failed_to_identify_station,exploit_vs_station_value
EXP-010,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Flop cbet called on low connected board; blank turn with missed backdoors versus station,CQ-EXP-010,VG-EXP-010,TR-EXP-010,false_exploit,failed_to_identify_station,exploit_confidence_discipline
EXP-011,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Missed draw river jam versus loose-passive bluffcatcher,CQ-EXP-011,VG-EXP-011,TR-EXP-011,false_exploit,failed_to_identify_station,exploit_confidence_discipline
EXP-012,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,"3bet pot A-high board; flop call, blank turn with no equity versus rec",CQ-EXP-012,VG-EXP-012,TR-EXP-012,false_exploit,failed_to_identify_station,exploit_confidence_discipline
EXP-013,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Multiway river bluff into two capped but sticky ranges,CQ-EXP-013,VG-EXP-013,TR-EXP-013,false_exploit,failed_to_identify_station,exploit_confidence_discipline
EXP-014,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Single-raised monotone board with no relevant blockers versus station,CQ-EXP-014,VG-EXP-014,TR-EXP-014,false_exploit,failed_to_identify_station,exploit_confidence_discipline
EXP-015,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Scare card turn but caller pool still overcontinues,CQ-EXP-015,VG-EXP-015,TR-EXP-015,false_exploit,failed_to_identify_station,exploit_vs_station_value
EXP-016,exploit,exploit_stop_bluff_vs_station,别在station身上乱bluff,batch_1_foundation,EXP-T2,Front door flush completes and station overcalls pair-heavy range,CQ-EXP-016,VG-EXP-016,TR-EXP-016,false_exploit,failed_to_identify_station,exploit_confidence_discipline
EXP-017,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive rec check-calls flop then check-raises blank turn,CQ-EXP-017,VG-EXP-017,TR-EXP-017,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
EXP-018,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive rec calls twice then donk-jams river,CQ-EXP-018,VG-EXP-018,TR-EXP-018,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
EXP-019,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive cold-caller wakes up with turn lead in 3bet pot,CQ-EXP-019,VG-EXP-019,TR-EXP-019,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
EXP-020,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive line turns into river overbet on paired board,CQ-EXP-020,VG-EXP-020,TR-EXP-020,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
EXP-021,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive player raises turn in multiway pot after flop call,CQ-EXP-021,VG-EXP-021,TR-EXP-021,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
