item_id,pack_id,pack_title,street,pot_type,board_class,villain_profile,question_type,spot_seed,correct_focus,primary_attr,secondary_attr,recommendation_pack,evidence_focus
LR-001,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,unknown,villain_range_narrowing,"BTN c-bets A72r and BB calls",remove_most_pure_air_keep_ax_weak_pairs_backdoors,range_not_narrowed,ignore_showdown_value_retention,line_range_flop_narrowing,"range_after_call; air_reduction"
LR-002,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,unknown,range_density,"CO c-bets K83r and BB calls",medium_pair_and_kx_density_remain_meaningful,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing,"density_shift; showdown_value"
LR-003,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,three_bet_pot,high_card_dry,unknown,villain_range_narrowing,"3bet pot A-high dry flop gets called",caller_keeps_ax_pairs_some_backdoors_not_random_air,range_not_narrowed,misread_capped_range,line_range_flop_narrowing,"pot_type_signal; air_reduction"
LR-004,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,paired_dry,unknown,range_density,"Paired dry flop bet-call after preflop call",underpairs_and_high_cards_without_backdoors_drop_fast,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing,"paired_board_signal; density_shift"
LR-005,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,passive_rec,villain_range_narrowing,"Passive rec calls small cbet on Q72r",retain_more_qx_and_pairs_less_float_air,range_not_narrowed,failed_to_identify_passive_strength,line_range_flop_narrowing,"villain_profile_signal; range_bucket_shift"
LR-006,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,overfolder,villain_range_narrowing,"Overfolder still chooses to call on A-high dry flop",remaining_range_is_stronger_than_pool_average,range_over_narrowed,misread_capped_range,line_range_flop_narrowing,"pool_adjustment; call_strength"
LR-007,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,station,range_density,"Station calls flop on K-high dry board",one_pair_density_stays_high_even_when_air_falls,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing,"station_profile; density_read"
LR-008,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,weak_reg,future_street_forecast,"Hero c-bets A-high dry and gets called",plan_fewer_turn_bluffs_on_blank_when_call_range_is_pair_heavy,future_street_disconnect,overestimate_bluff_density,line_range_turn_density,"future_street_signal; call_range_structure"
LR-009,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,two_tone_dynamic,unknown,villain_range_narrowing,"Hero bets J97 two-tone and gets called",keep_draws_pairs_gutters_combo_draws_not_just_made_hands,range_over_narrowed,ignore_draw_retention,line_range_flop_narrowing,"draw_retention; dynamic_board"
LR-010,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,low_connected,unknown,range_density,"T98r flop bet-call in SRP",draw_and_pair_plus_draw_density_stays_high,villain_density_misread,ignore_draw_retention,line_range_turn_density,"density_shift; draw_retention"
LR-011,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,broadway_dynamic,unknown,villain_range_narrowing,"QJT two-tone flop gets called",both_equity_and_nut_regions_remain_wide,range_over_narrowed,misread_polarization,line_range_flop_narrowing,"range_bucket_shift; nut_retention"
LR-012,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,multiway,two_tone_dynamic,unknown,range_density,"Multiway wet flop bet-call-call",air_collapses_fast_but_draw_and_pair_density_stays_dense,range_not_narrowed,ignore_draw_retention,line_range_multiway_collapse,"multiway_density; draw_retention"
LR-013,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,three_bet_pot,two_tone_dynamic,unknown,villain_range_narrowing,"3bet pot middling two-tone flop gets called",caller_keeps_strong_draws_pairs_and_broadway_backdoors,range_over_narrowed,ignore_draw_retention,line_range_flop_narrowing,"pot_type_signal; dynamic_board"
LR-014,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,monotone,unknown,range_density,"Monotone flop bet-call in SRP",made_flushes_are_few_but_single_spade_callers_exist_in_volume,villain_density_misread,misread_polarization,line_range_flop_narrowing,"monotone_board; density_balance"
LR-015,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,two_tone_dynamic,station,villain_range_narrowing,"Station calls flop on wet board",retain_more_pair_plus_draw_and weak top pairs than solver-ish pool,range_not_narrowed,failed_to_identify_station,line_range_turn_density,"villain_profile_signal; draw_retention"
LR-016,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,broadway_dynamic,weak_reg,future_street_forecast,"Broadway dynamic flop gets called by reg",turn_barrels_need_runout_help_because_call_range_keeps_equity,future_street_disconnect,ignore_draw_retention,line_range_turn_density,"future_street_signal; range_strength"
LR-017,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,turn_blank,unknown,range_density,"High-card dry flop call then blank turn",blank_turn_does_not_recreate_fold_equity_when_pairs_stay_dense,villain_density_misread,overestimate_bluff_density,line_range_turn_density,"blank_turn_density; pair_retention"
LR-018,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,turn_scare,unknown,range_density,"Scare overcard turn after wet flop call",scare_card_helps_some_bluffs_but_draw_retention_still_matters,villain_density_misread,ignore_draw_retention,line_range_turn_density,"turn_card_shift; density_comparison"
LR-019,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,flush_complete,unknown,range_density,"Front flush completes after flop call",one-pair_density_falls_some_but made_draw_density_rises,villain_density_misread,misread_polarization,line_range_turn_density,"density_shift; completed_draws"
